TABLEID,TABLENAME,SUFFIX,DATASOURCE,TABLETYPE,MINRUN,MAXRUN
1,IDS_DATATAG,RUN1,TAG,IDS,132000,212300
2,TIMESOURCE,RUN1,TCDS,DATA,132000,212300
3,TRG,RUN1,TRG,DATA,132000,212300
4,HLT,RUN1,HLT,DATA,132000,212300
5,BEAM,RUN1,BEAM,DATA,132000,212300
6,HFOC,RUN1,HFOC,DATA,132000,212300
7,OFFLINE_LUMI,RUN1,LUMI,RESULT,132000,212300
8,PIXEL,RUN1,PIXEL,DATA,132000,212300
21,IDS_DATATAG,RUN2,TAG,IDS,239000,
22,TIMESOURCE,RUN2,TCDS,DATA,239000,
23,TRG,RUN2,TRG,DATA,239000,
24,HLT,RUN2,HLT,DATA,239000,
25,BEAM,RUN2,BEAM,DATA,239000,
26,BCM1F,RUN2,BCM1F,DATA,239000,
27,PLT,RUN2,PLT,DATA,239000,
28,HFOC,RUN2,HFOC,DATA,239000,
29,HFET,RUN2,HFET,DATA,239000,
30,PIXEL,RUN2,PIXEL,DATA,239000,
31,OFFLINE_LUMI,RUN2,LUMI,RESULT,239000,
32,ONLINE_LUMI,RUN2,LUMI,RESULT,239000,